,BTC,ETH,LTC,BNB,NEO,QTUM,EOS,SNT,BNT,BCC,GAS,USDT,HSR,OAX,DNT,MCO,ICN,WTC,LRC,YOYOW,OMG,ZRX,STRAT,SNGLS,BQX,KNC,FUN,SNM,IOTA,LINK,XVG,SALT,MDA,MTL,SUB,ETC,MTH,ENG,ZEC,AST,DASH,BTG,EVX,REQ,VIB,TRX,POWR,ARK,XRP,MOD,ENJ,STORJ,VEN,KMD,NULS,RCN,RDN,XMR,DLT,AMB,BAT,BCPT,ARN,GVT,CDT,GXS,POE,QSP,BTS,XZC,LSK,TNT,FUEL,MANA,BCD,DGD,ADX,ADA,PPT,CMT,XLM,CND,LEND,WABI,TNB,WAVES,GTO,ICX,OST,ELF,AION,NEBL,BRD,EDO,WINGS,NAV,LUN,TRIG,APPC,VIBE,RLC,INS,PIVX,IOST,CHAT,STEEM,NANO,VIA,BLZ,AE,RPX,NCASH,POA,ZIL,ONT,STORM,XEM,WAN,WPR,QLC,SYS,GRS,CLOAK,GNT,LOOM,BCN,REP,TUSD,ZEN,SKY,CVC,THETA,IOTX,QKC,AGI,NXS,DATA,SC,NPXS,KEY,NAS,MFT,DENT,ARDR,HOT,VET,DOCK,POLY,PHX,HC,GO,PAX,RVN,DCR,USDC,MITH,BCH,BSV,REN,BTT,USDS,ONG,FET,CELR,MATIC,ATOM,PHB,TFUEL,ONE,FTM,BTCB,ALGO,USDSB,ERD,DOGE,DUSK,BGBP,ANKR,WIN,COS,TUSDB,COCOS,TOMO,PERL,CHZ,BAND,BUSD,BEAM,XTZ,HBAR,NKN,STX,KAVA,NGN,ARPA,CTXC,RUB,TROY,VITE,FTT,TRY,EUR,OGN,DREP,BULL,BEAR,ETHBULL,ETHBEAR,TCT,WRX,LTO,EOSBULL,EOSBEAR,XRPBULL,XRPBEAR,MBL,COTI,BNBBULL,BNBBEAR,STPT,ZAR,BKRW,SOL,IDRT,CTSI,HIVE,CHR,BTCUP,BTCDOWN,MDT,STMX,IQ,PNT,GBP,DGB,UAH,COMP,BIDR,SXP,SNX,ETHUP,ETHDOWN,ADAUP,ADADOWN,LINKUP,LINKDOWN,VTHO,IRIS,MKR,DAI,RUNE,AUD,FIO,BNBUP,BNBDOWN,XTZUP,XTZDOWN,AVA,BAL,YFI,JST,SRM,ANT,CRV,SAND,OCEAN,NMR,DOT,LUNA,IDEX,RSR,PAXG,WNXM,TRB,BZRX,WBTC,SUSHI,YFII,KSM,EGLD,DIA,UMA,EOSUP,EOSDOWN,TRXUP,TRXDOWN,XRPUP,XRPDOWN,DOTUP,DOTDOWN,BEL,WING,SWRV,LTCUP,LTCDOWN,CREAM,UNI,NBS,OXT,SUN,AVAX,HNT,BAKE,BURGER,FLM,SCRT,CAKE,SPARTA,UNIUP,UNIDOWN,ORN,UTK,XVS,ALPHA,VIDT,AAVE,BRL,NEAR,SXPUP,SXPDOWN,FIL,FILUP,FILDOWN,YFIUP,YFIDOWN,INJ,AERGO,EASY,AUDIO,CTK,BCHUP,BCHDOWN,BOT,AKRO,KP3R,AXS,HARD,RENBTC,SLP,CVP,STRAX,FOR,UNFI,FRONT,BCHA,ROSE,HEGIC,AAVEUP,AAVEDOWN,PROM,SKL
BTC,1,-3.4474142829376877,-5.388336264601621,-6.434566038497481,-6.937213986133262,-8.797892691856887,-8.695917622029341,-13.008034191763741,-9.868665503727033,inf,-9.39687499548944,-9.890464570927826,inf,-12.517046910217415,-12.851335739857685,inf,inf,-10.84409559206099,-11.483337507784732,-14.569532641908722,-8.48857752404968,-10.7001062543592,inf,-14.893319719002621,-11.718949134070971,-9.817594585184581,-15.328637790260466,-14.430696197054507,-10.91970370266666,-7.208900953711157,-14.756118597489134,inf,-10.530221094214257,-10.931386728459353,inf,-7.9663386803491845,-14.65848012792522,inf,-5.496499780083819,-12.25636543958414,-5.143223330877053,-7.634493403978118,-11.126662563845999,-13.536878321032411,-13.977028987128465,-13.278016687116121,-12.141158819452937,-10.755802984915311,-10.288443693922666,inf,-11.771991870055452,-10.898362263419541,inf,-10.400067449218515,-11.209600615447993,-13.02605269726642,-11.531107784053418,-5.012739608716151,-13.28388180656852,-14.102192130082472,-11.252642366706562,-13.737549016494562,inf,-9.556064484728163,-14.864332182129369,-10.771894198177849,inf,-13.395799722772505,-13.583398336667303,-8.395746538006787,-9.558897347812467,inf,inf,-12.284115352537043,-10.447904120738155,inf,-11.08993055457727,-11.65464126683824,-11.109798757793994,-14.569532641908722,-11.49999639377137,-14.548479232710891,inf,-12.344334212530098,-15.854730886157245,-7.9387369850189,-14.808762330974558,-10.687749521670295,-14.29254585857369,-12.068794526904043,-12.445870631749521,-10.7676094975023,-12.498101823974967,inf,inf,-12.01445178558794,inf,inf,-13.215673556541986,-13.919870573288517,-9.82886491233193,inf,-10.799465473044327,-14.953944340819055,inf,-11.58449565747148,-9.649396424520383,-11.400383589903738,-12.401087029122547,-11.881540419851111,inf,inf,-13.737549016494562,-13.382727641205152,-10.380522853145544,inf,-11.539296161432777,-10.868493376322633,-14.613017753848462,-13.897891666569741,-12.21714472643086,-11.37477512648941,inf,-11.988349161685303,-13.463853186017522,inf,-7.131149111864415,inf,-7.1257818144509235,-10.45413467048879,-12.319361291598717,-10.305654801262024,-14.682010625335414,-15.018482861956626,-12.76368843279893,-11.458384197708614,-13.021517542101028,-15.529308485722616,inf,inf,-11.017228722800537,inf,inf,-12.490091100228888,-17.033385882498894,-14.000839635822183,-14.26079716025911,-12.556049068020684,inf,-9.932946259687252,-14.730800789504846,-9.891010952956547,-14.08894690333245,-6.642085480505846,-9.891272402434947,-14.953944340819055,-4.1372959494177,inf,-10.962070953903176,inf,inf,-11.250330226948183,-12.824968864016943,-14.985693039133636,-13.804559726777523,-8.149814971682536,-15.647091521379,-14.468436525037355,-15.052384413632307,-13.674748115255532,inf,-10.95631719809876,,inf,-15.529308485722616,-12.851335739857685,,-14.44938833006666,inf,-14.864332182129369,,inf,-10.188304198044813,-13.710150042306447,-14.245292973723144,-8.020917348664979,-9.89062497512651,-11.14036140820416,-8.9601387860091,-13.215673556541986,-13.683481795224287,-11.298427790374241,-9.315144930539576,-16.07627315610448,-13.615659198885526,-12.346635709518377,-14.217373116676884,-15.647091521379,-13.988863444775468,-8.335121916190351,-11.948022731852582,-9.714770971091282,-11.70550971370931,-15.586466899562566,,,,,-14.682010625335414,-12.388994983357518,-11.825266783869003,,,,,-16.222455666282563,-12.918422033074055,,,-13.942343429140575,-12.638071353498074,-16.881949036890106,-9.158931969098754,-19.43679986643187,-13.012508472158663,-11.93963568169213,-13.463853186017522,,,-13.931043873886642,-15.854730886157245,,-10.852334567605542,-9.606180562818434,-13.62388969802204,-13.23687310964361,-5.133668574686119,-19.438055741335972,-9.874482855792946,-8.235535233567838,,,,,,,,-12.629720072721529,-3.557061239853514,-9.8846341329897,-10.002749474140938,-10.20251904942532,-12.381809323696643,,,,,-10.046357422622247,-7.1814548168771655,0.32845361524891875,-13.344506428384955,-9.720832384396294,-8.632726507338605,-10.2008930880173,-12.926618800278233,-10.589652161084942,-6.346567725344839,-8.190131605761758,-10.775239482062215,-13.232294437778027,-13.701181372323687,-2.3843142402594584,-6.776604094183508,-6.594136220906741,-11.221496666516838,0.0011004953339168594,-9.284063417838535,-2.2415248362327995,-5.881789030148742,-7.646993566742349,-9.378942656028778,-7.781423835831889,,,,,,,,,-9.773566272135705,-7.517400737696755,,,,,-8.533796737031015,-15.018482861956626,-11.061486490885748,-7.410935859695876,-8.561033165555807,-9.499692172650258,,,-11.502965223265173,-10.793110037328121,,,,,-8.773668921477368,-11.961341960273991,-8.717697067293383,-11.327938128523629,-10.448249245849432,-5.525975598216773,-11.55986715032631,-9.783815522485046,,,-6.454724201393068,,,,,-9.613855430715175,-13.008034191763741,,-11.947333949117882,-9.6974260084391,,,-3.695507980944844,-14.507657238190635,,-10.662629101586768,-10.552191674919653,0.0019800204470837917,,,-10.376016891224838,-13.701181372323687,-8.444988932076322,,,-13.151822084555453,,,,,-12.369946788386823
ETH,3.44947818657704,1,-1.938957398562398,-2.985435121315313,-3.487651993117564,-5.348610160602004,-5.247384497466244,-9.555498873853356,-6.415723782210742,inf,,-6.442049090496115,inf,inf,inf,inf,inf,-7.392887789824172,-8.031177304216481,inf,-5.03911509908518,-7.250231489422649,inf,inf,-8.261162950906122,-6.365710376298566,-11.900532955678386,inf,-7.466858185450734,-3.7605356718206266,-11.316358181092669,inf,inf,-7.477684326484249,inf,-4.516891677547447,inf,inf,-2.045006265260015,inf,-1.6911127487694249,inf,inf,inf,-10.520897886648472,-9.83053855288996,-8.691081936059312,inf,-6.837975263253727,inf,-8.323673309312253,-7.443411162449066,inf,-6.95279871714996,inf,inf,inf,-1.5624607258604926,inf,inf,-7.8036841570440885,inf,inf,inf,-11.411175061536502,-7.3192445016936825,inf,-9.9433090467228,inf,-4.9385241663047195,-6.107897143666493,inf,inf,-8.831999927260282,inf,inf,-7.637811532281718,-8.206064429801042,inf,-11.121235142110635,-8.05176709015098,inf,inf,inf,inf,-4.487631869406556,inf,-7.238040488582466,-10.856998996896897,-8.613364602834928,-8.994228492025654,-7.3147230169748365,-9.054046987236564,inf,inf,inf,inf,inf,inf,inf,-6.373776350241429,inf,-7.346811331526337,-11.506937423125606,inf,-8.134337448613623,-6.197242244002344,inf,-8.94936307028304,inf,inf,-13.965332947365274,inf,-9.93728555774524,-6.9300234055879075,inf,-8.090108295771754,-7.419248459515241,inf,-10.443084834302205,inf,inf,inf,-8.53191565154789,-10.006515122626592,inf,-3.6818968821028055,inf,-3.6723993829319665,inf,-8.870299506915677,-6.855653002599469,-11.241897827423584,-11.592051009115929,inf,inf,-9.567587480141652,-12.093530770463683,-14.923172682152302,-12.362896230390158,-7.564534815371207,-12.292811059504597,-14.782094083892396,inf,-13.804559726777523,-10.560267088925197,inf,,inf,inf,,-6.442065005826558,,,-6.442271882075516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.442192319352201,,,,,,,-12.627066555255965,,,-10.76774761296392,,,,-8.497093456347914,-6.266200048207779,,,,,,,,,,,,,,,,,,,-9.187819970675676,-13.43259788854137,,,,,,,,,-12.40841306921462,,,-6.157650814942412,,,,-15.986507307219645,,,,,,,,,,,,-6.4354222668293595,,-6.753020678706511,,,,,,,,,,,,,,,,,,,,,,,,3.4501082942175185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3390773409266,,,,,,,,,,-2.0762833707924533,-8.11016842667574,,,,,,,,,,,-4.578014728177656,,,,,,,,,,3.4608912283349573,-10.137703184751023,-5.330046690837372,-6.9269574859660725,,,-7.539183224173793,,,-7.8527318208930685,,,,
LTC,5.390556347315892,1.9426298252054222,1,-1.0456164932161458,,,,,,,,-4.500918055844033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.499364571288381,,,,,,,,,,,,,,,,,,,,,,,,-4.497919885811797,,,-4.500918055844033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.501028926734994,,,,,,,-10.678549733089797,,,,,,,,-4.324072111375817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB,6.436878905688305,2.9882290333963537,1.0483194946141428,1,-0.501691623535685,inf,-2.2594834166418267,,,inf,,-3.4546629704089264,,,,inf,,-4.39553082054318,,inf,inf,-4.264132382868799,inf,,,,,,-4.485498155937009,,,,,,,-1.5300884456895405,,,0.9406170575112354,,1.29325886952688,,,,,-6.842278759464189,inf,,-3.851339502933389,,-5.337514055965866,,inf,,inf,inf,inf,1.4241088345761905,inf,inf,-4.817362906115549,inf,,,,,,inf,inf,inf,inf,,,,,,inf,-5.218505685790163,,inf,-5.063985388512753,inf,,-5.899892348590011,,-1.5011088343479921,inf,-4.249997871933894,inf,,-6.007000015414498,inf,-6.056603849278943,,,inf,,inf,inf,,-3.3880707015307316,,inf,-8.51769381720892,,-5.145454516905207,inf,inf,-5.96518623959013,inf,inf,inf,inf,-6.9489318575477395,-3.9425131721859334,inf,inf,-4.431057067945863,,inf,inf,,,inf,inf,inf,inf,-3.4538513858640645,-0.6800205004285212,inf,inf,-3.8669577739324623,,,inf,inf,,-9.105881163274368,,,inf,-9.305850772023442,,inf,-10.819778284410283,-7.572481363632506,,inf,inf,,inf,-3.4463231831046977,-7.657531072045135,inf,-3.4545303829325666,-8.531306328892702,2.298974980769946,,inf,-11.366959194386459,inf,inf,-6.387960985233385,-8.565382935273426,-7.371174029600388,-1.713797927758343,inf,inf,-8.627124251789935,-7.2352588456205895,,-4.517074978803574,,inf,inf,inf,,-8.02210639132096,-12.878416698460356,-8.44853404260884,,-11.573800368354732,-3.743814586110656,-7.269160397296271,-7.795916843134456,-1.5813087447122642,-3.4546945362647743,inf,-2.52347892457424,-6.780122127715187,-7.242227514936682,-4.8564846142689975,-2.8757050667987665,-9.637348944185657,-7.170720324483018,inf,-7.780380151382702,-9.230563508094226,inf,-1.8981214872229708,-5.509237677506182,-3.278932793835533,-5.265818199155082,inf,,,,,inf,-5.942817393307045,inf,,,,,-9.846106718766437,-6.480180707330153,,,inf,-6.200198091178674,-10.444433364626326,-2.7221125784456723,-12.998829074370036,-6.575295083850885,-5.49333175014041,-7.023288594904505,,,-7.492842886915091,-9.417594810463058,-9.368335603133056,,-3.1692731426954,-7.1891176896227345,,1.3030977026527184,-12.998569058383241,-3.437275889569993,-1.7965758542160364,,,,,,,-10.538120326561883,-6.186478930700355,2.8801427762781993,-3.447621033563304,-3.5649536069430545,-3.7652102967166763,-5.943580460875547,,,,,-3.6079593306044795,-0.7442824346468903,6.76769899899962,-6.9087567813192265,-3.285940055448747,-2.1963240820029695,-3.7626024999762895,-6.487649784836354,-4.154368763726292,0.09275892557312426,-1.7534631841507746,-4.337966644879851,,-7.266290954868317,4.052350570982829,-0.3330746116879079,-0.16034265007517934,-4.778523072799286,,-2.8463117681021344,4.1951903975254,0.5559195616100857,-1.2089903763179153,-2.936462865096432,,,,,,,,,,-3.3380675098630235,-1.0775150866354037,-3.7932394694381792,,,0.8026432770468279,-2.097746192404258,,,,-2.113695231563044,,-7.71643577546445,-3.975561026232134,-5.063035570489787,,-4.476656365355548,-6.535191222216071,,,,,-2.2798231008789496,-4.890306286296639,,0.9097025105590628,-5.122963479069675,-3.348268788468213,,,-0.018019233503671198,,,,,-3.1788950248937335,,,,-3.2540207711709708,,,,,2.009348751905174,-4.222792373075433,-4.111915447473952,,,,,,-2.008019857050526,,,,,,,-2.644920329303078,
NEO,6.941278971021281,3.493622619915086,,0.5061754525907598,1,,,,,,,-2.950309555667661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,,,,,,,,,,inf,,,-2.9486354773274344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.949315909689925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTUM,8.801883742932064,5.355676600551004,,inf,,1,,,,,,-1.0899155817000556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0889073477043798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS,8.698517245881103,5.249766088052373,,2.263403803694797,,,1,,,,,-1.1932855384028085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1927401334261034,,,,,,,,,,,,,,,,,,,,,,,,inf,,,-1.1936186950652372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1929825723629839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNT,13.01450947282583,9.566445621078982,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNT,9.871827270630163,6.4250958236225,,,,,,,1,,,-0.019782038848944878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021934470948912457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC,inf,inf,,inf,,,,,,1,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
