,ETH,BTC,LTC,BNB,NEO,QTUM,EOS,SNT,BNT,BCC,GAS,USDT,HSR,OAX,DNT,MCO,ICN,WTC,LRC,YOYO,OMG,ZRX,STRAT,SNGLS,BQX,KNC,FUN,SNM,IOTA,LINK,XVG,SALT,MDA,MTL,SUB,ETC,MTH,ENG,ZEC,AST,DASH,BTG,EVX,REQ,VIB,TRX,POWR,ARK,XRP,MOD,ENJ,STORJ,VEN,KMD,NULS,RCN,RDN,XMR,DLT,AMB,BAT,BCPT,ARN,GVT,CDT,GXS,POE,QSP,BTS,XZC,LSK,TNT,FUEL,MANA,BCD,DGD,ADX,ADA,PPT,CMT,XLM,CND,LEND,WABI,TNB,WAVES,GTO,ICX,OST,ELF,AION,NEBL,BRD,EDO,WINGS,NAV,LUN,TRIG,APPC,VIBE,RLC,INS,PIVX,IOST,CHAT,STEEM,NANO,VIA,BLZ,AE,RPX,NCASH,POA,ZIL,ONT,STORM,XEM,WAN,WPR,QLC,SYS,GRS,CLOAK,GNT,LOOM,BCN,REP,TUSD,ZEN,SKY,CVC,THETA,IOTX,QKC,AGI,NXS,DATA,SC,NPXS,KEY,NAS,MFT,DENT,ARDR,HOT,VET,DOCK,POLY,PHX,HC,GO,PAX,RVN,DCR,USDC,MITH,BCHABC,BCHSV,REN,BTT,USDS,ONG,FET,CELR,MATIC,ATOM,PHB,TFUEL,ONE,FTM,BTCB,ALGO,USDSB,ERD,DOGE,DUSK,BGBP,ANKR,WIN,COS,TUSDB,COCOS,TOMO,PERL,CHZ,BAND,BUSD,BEAM,XTZ,HBAR,NKN,STX,KAVA,NGN,ARPA,CTXC,BCH,RUB,TROY,VITE,FTT,TRY,EUR,OGN,DREP,BULL,BEAR,ETHBULL,ETHBEAR,TCT,WRX,LTO,EOSBULL,EOSBEAR,XRPBULL,XRPBEAR,MBL,COTI,BNBBULL,BNBBEAR,STPT,ZAR,BKRW,SOL,IDRT,CTSI,HIVE,CHR,BTCUP,BTCDOWN,MDT,STMX,IQ,PNT,GBP,DGB,UAH,COMP,BIDR,SXP,SNX,ETHUP,ETHDOWN,ADAUP,ADADOWN,LINKUP,LINKDOWN,VTHO,IRIS,MKR,DAI,RUNE,AUD,FIO,BNBUP,BNBDOWN,XTZUP,XTZDOWN,AVA,BAL,YFI,JST,SRM,ANT,CRV,SAND,OCEAN,NMR,DOT,LUNA,IDEX,RSR,PAXG,WNXM,TRB,BZRX,WBTC,SUSHI,YFII,KSM,EGLD,DIA,UMA,EOSUP,EOSDOWN,TRXUP,TRXDOWN,XRPUP,XRPDOWN,DOTUP,DOTDOWN,BEL,WING,SWRV,LTCUP,LTCDOWN,CREAM,UNI,NBS,OXT,SUN,AVAX,HNT,BAKE,BURGER,FLM,SCRT,CAKE,SPARTA,UNIUP,UNIDOWN,ORN,UTK,XVS,ALPHA,VIDT,AAVE,BRL,NEAR,SXPUP,SXPDOWN,FIL,FILUP,FILDOWN,YFIUP,YFIDOWN,INJ,AERGO,EASY,AUDIO,CTK,BCHUP,BCHDOWN,BOT,AKRO,KP3R,AXS,HARD,RENBTC,SLP,CVP,STRAX,FOR,UNFI,FRONT,BCHA,ROSE,HEGIC,AAVEUP,AAVEDOWN,PROM,SKL,SUSD,COVER,GLM,GHST,SUSHIUP,SUSHIDOWN,XLMUP,XLMDOWN,DF
ETH,1,-3.5007357067071845,2.0033328637019965,2.996312862062886,3.530554117447881,5.434450540873117,5.312200492712634,9.749708999082157,6.3462869223978915,,,6.31960818877426,,,,,,7.4448992110660015,8.086021740813093,,5.186525039406498,7.264987964143878,,,8.171417579990337,6.438939667650308,11.85782571775382,,7.56262455607883,3.840470313080021,11.29479043538714,,,7.378759408561456,,4.5466761145360355,,,2.1495777808482814,,1.7589384210861279,,,,10.390295913660415,9.883901419261324,8.680006987912424,,6.997291954583244,,8.268914666830986,7.416918285662228,,6.962156556042836,,,,1.3494982387589078,,,7.8998239381477,,,,11.362923091767284,7.272599212733065,,10.047204355071306,,5.115663864853887,6.113954945029276,,,8.835029981631953,,,7.687025213292501,8.263861598979593,,11.112468878593186,8.17570388280317,,,,,4.186079726018191,,7.301798367425328,10.874179561470982,8.499224745202218,8.882037125167166,7.258313255485589,8.98022915134638,,,,,,,,6.494661344509502,,7.306252717774708,11.484367163062268,,8.129535701958037,6.3451479701107605,,9.070622865370886,,,13.806560727444689,,9.779089643475379,7.033185857693898,,7.710424020353178,7.419581403081711,,10.479319006611615,,,,,9.99550745125688,,3.593479460161205,6.320202820885697,4.0459836330179595,,8.662352787449427,6.680202884914002,11.284402807025563,11.59080700963977,,,9.523315637330592,12.077800810159617,14.92517368281947,12.425229155666928,7.5305129637889925,12.42771981697938,14.810763331641725,,13.846970265782566,10.435516383953221,,,,,,6.320040683555023,,,6.320238847833858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.319752374485706,,,,,,,12.499918117584835,,,,10.610914176716532,,,,8.385098775284291,6.130725863690457,,,,,,,,,,,,,,,,,,,9.07933973681577,13.315845314385205,,,,,,,,,12.353255656041839,,,6.045389510749453,,,,15.883120367933618,,,,,,,,,,,,6.316882776696408,,6.608758181141291,,,,,,,,,,,,,,,,,,,,,,,,-3.4990553041212675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.70336894959077,,,,,,,,,,1.9813571771232648,7.950317883580983,,,,,,,,,,,4.480507668326018,,,,,,,,,,-3.493933095826402,9.834775440458412,5.098174555847078,6.946457646499732,,,7.339846435062857,,,8.07929380755542,,,,,6.31283561451688,-0.7794246883334223,8.509233950378349,6.729188010718387,,,,,7.685719445968776
BTC,3.502769880921768,1,5.504621500067499,6.497109812132475,7.032053995660214,8.934466998574589,8.813907935898866,13.251197249247797,9.84829677321997,,9.39406250912506,9.821305880563592,,12.527278410021099,12.79766373809861,,,10.948612156253752,11.586496658138648,14.077875822432265,8.687796476136,10.763453718124596,,15.12584437828162,11.67175005049738,9.941567061111133,15.377158806562527,14.732801790172013,11.063487491552916,7.3418644748607145,14.810763331641725,,10.538989037996924,10.87787837678444,,8.044135792176045,14.784095084559564,,5.650010739142806,12.235472620385455,5.259520397007554,7.709488170555603,11.105133067102972,13.538879321699579,13.899892667236909,13.391243322893514,12.18335661924644,10.827300001734132,10.497970910316711,,11.770109370696222,10.915089464215107,,10.46310434047205,11.201307407562,13.010035192430909,11.56838215109987,4.849644504109135,13.239897693993864,14.232026502259524,11.399704821213788,13.758242150173881,,9.629891219966586,14.866333182796536,10.771988620574435,,13.554146793830366,13.676749115922698,8.615255404592952,9.619309110636049,,,12.334906517373643,10.52364155352133,,11.188948108108335,11.764954720107557,11.202039204155215,14.61501875451563,11.676444894801588,14.61501875451563,,12.376675930249936,16.119096151291902,7.68680746696611,14.784095084559564,10.801466473711494,14.378629976451398,12.001686316138807,12.379048410603568,10.762038289721266,12.484145039203522,,,11.879209283779145,,,13.411045950189694,13.990864445442636,9.997480919718877,,10.805397682705564,14.987694039800802,,11.630459781559763,9.844334130049965,11.428666121352988,12.572356464339089,11.859237150592229,,,13.786952256056313,13.280017687783289,10.535599842510203,,11.21160161611516,10.920599120026077,14.637491610367688,13.979029987795633,12.644028921063292,11.411369376978719,,,13.494427559128745,,7.091477416131015,9.82177578508927,7.547793634228634,10.609707814663926,12.164013656403311,10.179188091098323,14.784095084559564,15.089476734110745,12.920423033741223,11.312619108598776,13.028053697933588,15.588467900229734,,,11.031499816059519,,,12.63478386291924,17.728534063726002,13.944344429807742,14.294546859240857,12.5956811369055,,9.987869661808762,14.637491610367688,9.821878971541308,14.131221803137558,6.568006985927248,9.821663354044823,15.12584437828162,,,11.121883877527788,,,11.48631079827084,12.790469462464584,15.12584437828162,13.857333052818113,8.233014749516158,15.78262391467069,14.145015125269893,15.163584706264468,13.796708431001678,,11.008917226859387,,,15.588467900229734,12.714570979537074,,14.61501875451563,,14.866333182796536,,,10.2194728078495,13.634189501503903,14.232026502259524,8.00764810719115,9.821506363951988,11.156251521031995,9.075936235303564,13.201325419207624,13.712151042973614,11.064125043375595,9.418611074467686,15.999050557981262,13.703182372990854,12.346335213197266,4.239446406529941,14.114556495104607,15.78262391467069,14.11761615108178,8.393766113374769,11.885248113289276,9.632322310469906,11.816383323337748,15.531309486389784,,,,,14.684011626002581,12.450419404495486,12.09553177113085,,,,,16.342239702606115,12.872605159390728,,,13.878386462015945,12.578812548903285,16.817072502613946,9.43298554750024,19.37967922224954,12.86099961327042,11.960213067932232,13.451867944709948,,,13.748852409824043,15.856731886824413,,10.76062486192412,9.54700635502111,13.767720894128425,13.15311683588726,4.850410200930619,19.382191091844664,9.999898237674369,8.34088467677941,,,,,,,,12.762199028526329,3.5955156764127074,9.818783094870327,9.98591505156544,10.109841494415134,12.314658356543694,,,,,10.132644146007467,7.401577778642136,-0.30607234991012944,13.494427559128745,9.782270420145462,8.743214003076892,10.382523853812712,12.864853182586412,10.803430146409253,6.546894308689688,8.27925553453697,10.575482428788524,13.26838964978817,13.816511058297857,2.299792795088933,6.886016292346231,6.693644399698775,11.393479812227945,0.0009405021335116657,9.080312609903363,2.356248245910935,5.967967575841178,7.0468690814453545,9.507055116458812,7.868476069117212,,,,,,,,,9.722166496075758,7.066579864509288,,,,,8.70512586110146,14.593039847796854,11.163973567125906,7.61803234180555,8.629125252457102,9.652951427054283,,,11.498052616147522,10.205593145653634,,,,,8.711778440822487,12.08662699278789,8.524714908740087,11.478558821466521,10.177872820620667,5.483000349314916,11.45192289386208,9.92469076018723,,,6.418336965327392,,,,,9.10293499846598,13.001146245013663,,11.599483853665458,9.835708537474886,,,3.8091140423712178,14.294546859240857,,10.332505565448388,9.924894862647374,0.002982463124896057,,,10.44577288412041,13.786952256056313,7.424309228321941,,,12.790469462464584,,,,,11.926415688348941,9.813003362747533,,12.014801258216634,,,,,,
LTC,-2.0002955168024643,-5.502374949982278,1,0.994622575144062,,,,,,,,4.31795513826375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.319554712051891,,,,,,,,,,,,,,,,,,,,,,,,4.322613428446844,,,4.318488613869894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.318221911641349,,,,,,,10.498615682406506,,,,8.611902590187173,,,,,4.130036302345615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB,-2.9936123999524913,-6.4950425577799225,-0.9903977040273768,1,0.5362895962779485,,2.317684517707131,,,,,3.3254500181357205,,,,,,4.44916693751201,,,,4.271128042510057,,,,,,,4.566949973168394,,,,,,,1.5502844899479369,,,-0.8461544927057094,,-1.2347616264817598,,,,,6.889443468283348,,,4.0029482132897165,,5.274625254291249,,,,,,,-1.6455405000520191,,,4.904576722136431,,,,,,,,,,,,,,,,,5.2701474895818405,,,5.184739962174185,,,5.879493568782404,,1.19080744918662,,4.307548673831559,,,5.887384570991058,,,,,,,,,,,,,8.490578524716847,,5.137199017405185,,,6.078022935803212,,,,,6.78476979953473,4.038586728737076,,,4.426352259745839,,,,,,,,,,3.3264644869936335,1.0528246275029343,,,3.6834606026453365,,,,,,9.08119018784472,,,,9.43198754342539,,,10.85433556827271,7.441145580997552,,,,,,3.3385016726806085,7.628246935215268,,3.326522014669855,8.618014027032032,,,,11.399704821213788,,,6.29573464323506,8.628566749231192,7.362728591488929,1.7377037638135602,,,8.638667845217695,7.300317982254894,,4.5135915050285815,,,,,,8.111396138407878,12.765689433466097,8.356925544153698,,11.503975634450644,3.7224031461530798,7.138168943643525,7.728827653449333,1.5120874064207315,3.3255040051680482,,2.581317334926242,6.706631595225586,7.212567233697385,4.569838757074285,2.922182042623278,9.506767875208993,7.211213137349656,,-2.2561687291299792,7.618902642983591,9.234609499249121,,1.900122487890138,5.390620025288406,3.1365555839754737,5.323610559450665,,,,,,,5.956326000825692,,,,,,9.764726110494554,6.375777350908597,,,,6.0856365783293604,10.322441522430235,2.9375209142557286,12.882537400971376,6.367594955753657,,6.9537531452464565,,,7.255480392401285,9.361001646864173,9.357523382487848,,3.051315651657866,7.268291955535485,,-1.6422589605760274,12.88637491960165,3.504562888673767,1.844263812428754,,,,,,,10.516977330412203,6.266901893143326,-2.9000913690662866,3.3230103640987183,3.492341431848705,3.614725280846759,5.820193826501113,,,,,3.6384266728586043,0.9046218291070756,-6.79870175254668,6.999775177702889,3.288021341933467,2.2481508864395288,3.888330893171358,6.373198519330546,4.308290788893448,0.052714936020262254,1.7834831327814293,4.079078090091812,,7.322757218446172,-4.195178367769786,0.39256270327275644,0.20067169546265126,4.899200365100051,,2.5859485043018102,-4.13895457314057,-0.5244969636642757,0.5512601933449813,3.012862155817458,,,,,,,,,,3.228160544789482,0.5733469807478245,3.7776188687555265,,,-0.8092628268950416,2.2093669180886475,,,,2.133842818740535,,7.580141468094153,4.022838371768937,5.0066482529188,,4.0586274796205215,6.374604330246233,,,,,2.028988760424504,4.9864798745487215,,-1.0123443443548226,4.956264018894853,3.4287472172292754,,,-0.0769415409460008,,,,,2.608074784095791,,,,3.340350478669659,,,,,-2.645812391297437,3.8423320776391963,3.4327601875783786,,,,,,0.9290349201649106,,,,,,,2.2904719541822463,,,,,,,,,,
NEO,-3.5258281338287576,-7.028922412622761,,-0.5300278307499267,1,,,,,,,2.79167469011975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7977329040408065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7929015336057375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTUM,-5.428109156464476,-8.93095084610241,,,,1,,,,,,0.889714464437504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8905364948989192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS,-5.30918703878494,-8.811235117940727,,-2.3136571738947316,,,1,,,,,1.0089219237171894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0121285729685727,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0097974846793294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.009250348921302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNT,-9.73900858321007,-13.243530511044952,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNT,-6.338604088263294,-9.840263709022413,,,,,,,1,,,-0.022165777698256093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018182319083190474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
