,BTC,ETH,LTC,BNB,NEO,QTUM,EOS,SNT,BNT,BCC,GAS,USDT,HSR,OAX,DNT,MCO,ICN,WTC,LRC,YOYOW,OMG,ZRX,STRAT,SNGLS,BQX,KNC,FUN,SNM,IOTA,LINK,XVG,SALT,MDA,MTL,SUB,ETC,MTH,ENG,ZEC,AST,DASH,BTG,EVX,REQ,VIB,TRX,POWR,ARK,XRP,MOD,ENJ,STORJ,VEN,KMD,NULS,RCN,RDN,XMR,DLT,AMB,BAT,BCPT,ARN,GVT,CDT,GXS,POE,QSP,BTS,XZC,LSK,TNT,FUEL,MANA,BCD,DGD,ADX,ADA,PPT,CMT,XLM,CND,LEND,WABI,TNB,WAVES,GTO,ICX,OST,ELF,AION,NEBL,BRD,EDO,WINGS,NAV,LUN,TRIG,APPC,VIBE,RLC,INS,PIVX,IOST,CHAT,STEEM,NANO,VIA,BLZ,AE,RPX,NCASH,POA,ZIL,ONT,STORM,XEM,WAN,WPR,QLC,SYS,GRS,CLOAK,GNT,LOOM,BCN,REP,TUSD,ZEN,SKY,CVC,THETA,IOTX,QKC,AGI,NXS,DATA,SC,NPXS,KEY,NAS,MFT,DENT,ARDR,HOT,VET,DOCK,POLY,PHX,HC,GO,PAX,RVN,DCR,USDC,MITH,BCH,BSV,REN,BTT,USDS,ONG,FET,CELR,MATIC,ATOM,PHB,TFUEL,ONE,FTM,BTCB,ALGO,USDSB,ERD,DOGE,DUSK,BGBP,ANKR,WIN,COS,TUSDB,COCOS,TOMO,PERL,CHZ,BAND,BUSD,BEAM,XTZ,HBAR,NKN,STX,KAVA,NGN,ARPA,CTXC,RUB,TROY,VITE,FTT,TRY,EUR,OGN,DREP,BULL,BEAR,ETHBULL,ETHBEAR,TCT,WRX,LTO,EOSBULL,EOSBEAR,XRPBULL,XRPBEAR,MBL,COTI,BNBBULL,BNBBEAR,STPT,ZAR,BKRW,SOL,IDRT,CTSI,HIVE,CHR,BTCUP,BTCDOWN,MDT,STMX,IQ,PNT,GBP,DGB,UAH,COMP,BIDR,SXP,SNX,ETHUP,ETHDOWN,ADAUP,ADADOWN,LINKUP,LINKDOWN,VTHO,IRIS,MKR,DAI,RUNE,AUD,FIO,BNBUP,BNBDOWN,XTZUP,XTZDOWN,AVA,BAL,YFI,JST,SRM,ANT,CRV,SAND,OCEAN,NMR,DOT,LUNA,IDEX,RSR,PAXG,WNXM,TRB,BZRX,WBTC,SUSHI,YFII,KSM,EGLD,DIA,UMA,EOSUP,EOSDOWN,TRXUP,TRXDOWN,XRPUP,XRPDOWN,DOTUP,DOTDOWN,BEL,WING,SWRV,LTCUP,LTCDOWN,CREAM,UNI,NBS,OXT,SUN,AVAX,HNT,BAKE,BURGER,FLM,SCRT,CAKE,SPARTA,UNIUP,UNIDOWN,ORN,UTK,XVS,ALPHA,VIDT,AAVE,BRL,NEAR,SXPUP,SXPDOWN,FIL,FILUP,FILDOWN,YFIUP,YFIDOWN,INJ,AERGO,EASY,AUDIO,CTK,BCHUP,BCHDOWN,BOT,AKRO,KP3R,AXS,HARD,RENBTC,SLP,CVP,STRAX,FOR,UNFI,FRONT,BCHA,ROSE
BTC,1,-3.3956428367488267,-5.319949666675151,-6.316419364568876,-6.828944098557847,-8.673847001461613,-8.568486485803788,-13.013508972492247,-9.697612242788438,inf,-9.427253373539756,-9.819388838712731,inf,-12.419265865991216,-12.848526711774602,inf,inf,-10.756803485248895,-11.414891724698863,-14.413347558719895,-8.326572831807587,-10.604666904793337,inf,-14.78309458422598,-11.692052130867664,-9.696635997998897,-15.24262691360442,-14.23102600192594,-10.832357066617144,-7.066012713327207,-14.865332682462952,inf,-10.42436351215562,-10.92015125855707,inf,-7.855536677947663,-14.636491110034104,inf,-5.435053890121508,-12.061106875279988,-5.237598631513331,-7.516561311108331,-11.045424965942612,-13.42346847018825,-13.87738596168236,-13.20032491887404,-12.082086665749182,-10.735437135976532,-10.296826480846452,inf,-11.653337618686974,-10.770512043107365,inf,-10.437923041941252,-11.08049390863225,-13.004580341747946,-11.401384090237322,-4.938128603309508,-13.18957212709778,-13.966333447698858,-11.148977037064999,-13.71115054264003,inf,-9.434734705192046,-14.636491110034104,-10.662774535600619,inf,-13.43024815717363,-13.515405965513937,-8.390560540482872,-9.483462293096634,inf,inf,-12.182356118912857,-10.298309500545813,inf,-10.965960794588364,-11.591968672310681,-11.14689442610747,-14.48885511122804,-11.655641767171824,-14.395329053217216,inf,-12.270077975506085,-15.935774094164366,-7.7431575071229535,-14.659480628258803,-10.622978708435676,-14.377629476117816,-12.01876354722518,-12.356895535264757,-10.705111209432157,-12.434228738667928,inf,inf,-12.012151952892868,inf,inf,-13.537878821365995,-13.845969765448983,-9.645749356457419,inf,-10.885918086914828,-14.954944841152638,inf,-11.54855264261338,-9.604865540046013,-11.35336089529889,-12.236531853014883,-11.885439472938707,inf,inf,-13.576493657493774,-13.508025858216314,-10.286213173674803,inf,-11.601756678676844,-10.807849713545009,-14.570533142242306,-13.815510557964274,-12.324856181520142,-11.33897215784679,inf,-11.942171101743796,-13.41004544985611,inf,-7.020923977087775,inf,-7.276213661461206,-10.609922627423009,-12.242736629901765,-10.16433297103435,-14.570533142242306,-15.05338491396589,-12.571355964005507,-11.473704751816948,-12.883346476933829,-15.5303089860562,inf,inf,-10.824790826233828,inf,inf,-12.582950296786425,-17.034386382832476,-13.932044374220226,-14.130221302803974,-12.58587000688976,inf,-9.755067547417855,-14.707108677248058,-9.820151051275362,-13.978029487462049,-6.749043587827316,-9.820371125824467,-14.98669353946722,-3.9952959246219675,inf,-10.754927312090667,inf,inf,-11.841429531942264,-12.577136326921005,-14.954944841152638,-13.667090552846002,-7.9989948133208335,-15.476241764785925,-14.469437025370938,-14.954944841152638,-13.60039917834733,inf,-10.840491326007825,,inf,-15.376158306228943,-12.664938530365454,,-14.413347558719895,inf,-14.757119097822718,,inf,-9.947439440065311,-13.584398837000887,-14.215988124561399,-7.757252222247285,-9.820385795739162,-11.030499315725935,-8.836709987388037,-13.127375919227873,-13.633189001170319,-11.275484608955194,-9.085294883001959,-16.01601286876937,-13.515405965513937,-12.24689464005043,-14.149425957232364,-15.5303089860562,-13.866803852351824,-8.362328480855322,-11.86966940652857,-9.652989505211302,-11.668410367810623,-15.424948470398375,,,,,-14.59203934746327,-12.291630533891821,-11.978140577484167,,,,,-16.223456166616145,-12.867721159030749,,,-13.954772625297782,-12.592096660980635,-16.82672939328353,-8.943371341121944,-19.37561258257892,-12.919422533407639,-11.84700057699172,-13.351776541732134,,,-13.675748615589116,-15.781623414337107,,-10.72265157367956,-9.53613581393328,-13.493427058795161,-13.165436276736548,-4.941342467600307,-19.37535670159586,-9.669522762590335,-8.086060336559495,,,,,,,,-12.565608821749938,-3.4145258118734882,-9.816743776101912,-9.861578149458918,-10.137920735459526,-12.276495109826719,,,,,-9.96749288251204,-6.9832334201580935,0.3520291690188381,-13.471920853574197,-9.55226745928036,-8.391001166178478,-10.061311637729695,-12.852336240191269,-10.46841743529532,-6.296903341149022,-8.051919480619212,-10.794110537661705,-12.911292407324389,-13.60039917834733,-2.3016854977512096,-6.505629072139487,-6.316640823987344,-10.89504076891083,9.999500033332494e-05,-9.401500877437341,-2.0690952496256916,-6.112502875485038,-7.610952795395584,-9.303552753698362,-7.66277786326017,,,,,,,,,-9.638357884554859,-7.397145622028063,,,,,-8.374392392784566,-14.837161805496256,-10.985242724137814,-7.321756718112588,-8.39426784457894,-9.261633666363734,,,-11.279435621601875,-10.676544116324376,,,,,-9.184672625227606,-11.600664379278236,-8.464600741297067,-11.441535468883556,-10.402055278906618,-5.528233802149675,-11.517405414991934,-9.597474523399624,,,-6.425884839671567,,,,,-9.457904697832074,-12.911292407324389,,-11.826267284202586,-9.619662910411652,,,-3.564187010156618,-14.377629476117816,,-10.51930339015975,-10.506063034911687,-2.000020000260223e-05,,,-10.674380081720926,-13.553146293496782,-8.51919519408691,,,-12.887291255224845
ETH,3.395732342231097,1,-1.9237377827901734,-2.9196790517685907,-3.4319143543242157,-5.277926676900303,-5.17274254363997,-9.61740676145132,-6.2963606002944505,inf,,-6.423717631972529,inf,inf,inf,inf,inf,-7.35874090239211,-8.018268098908633,inf,-4.930900326077403,-7.2087928064810765,inf,inf,-8.290854749205508,-6.298533333359953,-11.855415773917004,inf,-7.433965304791875,-3.669547525814444,-11.4921429257877,inf,inf,-7.523941418405954,inf,-4.458389454779897,inf,inf,-2.038913990503768,inf,-1.8412438743269635,inf,inf,inf,-10.485451204135458,-9.806360841805406,-8.67659932363945,inf,-6.901226637019437,inf,-8.25713928608193,-7.368204695423061,inf,-7.0412866716066596,inf,inf,inf,-1.5396320381901374,inf,inf,-7.749959467503594,inf,inf,inf,-11.257508353105724,-7.2658598157304635,inf,-10.031320924046012,inf,-4.984967547347678,-6.085775226579223,inf,inf,-8.786118935385575,inf,inf,-7.565921490646837,-8.195327107184387,inf,-11.092900205530734,-8.256753855358332,inf,inf,inf,inf,-4.346041920954372,inf,-7.226584080430754,-10.97760236960385,-8.623053832115746,-8.955698153602603,-7.300797867091744,-9.037227754267539,inf,inf,inf,inf,inf,inf,inf,-6.247647952500392,inf,-7.49294531803699,-11.566326241697343,inf,-8.149083869851841,-6.2076324846857664,inf,-8.833000427593866,inf,inf,-14.144014624936311,inf,-10.1149495990765,-6.889915360853806,inf,-8.207578408964906,-7.410282099933433,inf,-10.427736196634259,inf,inf,inf,-8.541485883985281,-10.018225230006552,inf,-3.6268440631944836,inf,-3.8785882293419087,inf,-8.847087112677327,-6.7687414424553465,-11.18794760777475,-11.674268615378992,inf,inf,-9.485040410204794,-12.144037254610721,-14.98669353946722,-12.26370175836681,-7.423593444571672,-12.477881368825665,-14.924173182485886,inf,-13.835713265281793,-10.539876399277464,inf,,inf,inf,,-6.424366466526266,,,-6.4245448222491195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.424820400356994,,,,,,,-12.617035944182117,,,-10.752841155578558,,,,-8.473316536166754,-6.2573418643424015,,,,,,,,,,,,,,,,,,,-9.193580710160843,-13.430611021330467,,,,,,,,,-12.429216196844383,,,-6.140401659882353,,,,-15.978987135053579,,,,,,,,,,,,-6.4209879203092175,,-6.7411810791558215,,,,,,,,,,,,,,,,,,,,,,,,3.3993055933585374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.275924602346604,,,,,,,,,,-2.1307348360673863,-8.120077132794268,,,,,,,,,,,-4.418607634936882,,,,,,,,,,3.4065430679869073,-9.739160259114453,-5.38802327963253,-7.278818960372969,,,-7.396330293813308,,
LTC,5.320154061157211,1.9250394648840152,1,-0.9969486348916096,,,,,,,,-4.499365127091115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.492337377713747,,,,,,,,,,,,,,,,,,,,,,,,-4.485372622532496,,,-4.499142781342561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.500031867864786,,,,,,,-10.68400437923298,,,,,,,,-4.331377869374931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB,6.317250090394071,2.9223517087540047,0.9995283304442107,1,-0.5068336024964532,inf,-2.249044326066016,,,inf,,-3.502242599802308,,,,inf,,-4.429537617344933,,inf,inf,-4.285262966241573,inf,,,,,,-4.5107695105666075,,,,,,,-1.5347943694383346,,,0.8841806779559214,,1.0875513413086848,,,,,-6.881600321505286,inf,,-3.9776287625261397,,-5.325688563344168,,inf,,inf,inf,inf,1.3842923584492177,inf,inf,-4.829564519203954,inf,,,,,,inf,inf,inf,inf,,,,,,inf,-5.272649619799459,,inf,-5.334981350919628,inf,,-5.95609740327069,,-1.419892510550826,inf,-4.301368731656427,inf,,-6.030621262309176,inf,-6.10575369351011,,,inf,,inf,inf,,-3.3264610355481383,,inf,-8.636539949048803,,-5.225066904808444,inf,inf,-5.905653890694871,inf,inf,inf,inf,-7.1846952549020155,-3.9654237821552614,inf,inf,-4.479418980682531,,inf,inf,,,inf,inf,inf,inf,-3.499793067367094,-0.9439188989916291,inf,inf,-3.838307967605865,,,inf,inf,,-9.220390707829685,,,inf,-9.552830680922959,,inf,-10.912441969273702,-7.615813072277836,,inf,inf,,inf,-3.488664765775842,-7.656415169472341,inf,-3.502326959512161,-8.679712120914012,2.322387720290225,,inf,-11.480458274832728,inf,inf,-6.260128613724001,-8.62924269522486,-7.343628049511727,-1.67825222843446,inf,inf,-8.651296175939718,-7.280269286950616,,-4.519910342037268,,inf,inf,inf,,-8.088011556690757,-12.747357476780873,-8.444872529836612,,-11.564218759357779,-3.623091713575933,-7.264430222920869,-7.894468475152838,-1.429870143836767,-3.5031822060800653,inf,-2.517264565896126,-6.803395263657894,-7.305252217441125,-4.953310227476986,-2.7630345094349695,-9.693321922512176,-7.19144533016438,inf,-7.829698008184579,-9.226469753906066,inf,-2.0425311876597387,-5.550903208462204,-3.3351074354646215,-5.334981350919628,inf,,,,,inf,-5.960741374465141,inf,,,,,-9.950579160069978,-6.549381778407823,,,inf,-6.272310808550481,-10.5090049831351,-2.6232036656920914,-13.051090766427754,-6.600270579234176,-5.504112279527633,-7.022044425384265,,,-7.343782692672941,-9.491377901709296,-9.512797730010119,,-3.21711427424854,-7.175634724137739,,1.3792697461829262,-13.057393830054972,-3.350124111478155,-1.7649228152744953,,,,,,,-10.613170701736173,-6.236853707369511,2.903287983162711,-3.4989893278200292,-3.5401146808488244,-3.8196664593499943,-5.952243833954701,,,,,-3.6431415624400825,-0.6527732864216721,6.676806344768268,-7.148553765535068,-3.230872498052385,-2.073061934715797,-3.738069698304708,-6.5237862312188595,-4.149011963564409,0.02955880224154439,-1.7321706778163974,-4.475019501523046,,-7.284632930238389,4.01733752002794,-0.18152187662339037,0.005982071677547429,-4.564988396355259,,-3.0812901619156374,4.2512058507423305,0.21058502206681404,-1.290620611051608,-2.9798589243977007,,,,,,,,,,-3.3175917978073586,-1.0729445419195318,-3.7009520353482057,,,0.3375430916227059,-2.0561938749601456,,,,-2.072426206785931,,-7.577185932924766,-3.868006120011372,-4.957568573159564,,-4.592253960721545,-6.3771270279199666,,,,,-2.1438734018392247,-5.110394857744437,,0.7937162354816408,-5.199380618688013,-3.280751228586288,,,-0.10853220682346135,,,,,-3.1267525359923947,,,,-3.2949472618194964,,,,,2.0505275315151934,-4.200371966867631,-4.1844881120750665,,,,,,-2.197684683168676,,,
NEO,6.8298687403250655,3.43581988281464,,0.5128276264366638,1,,,,,,,-2.9898147997899533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,,,,,,,,,,inf,,,-2.9824443792270556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9896135925458136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTUM,8.675017276609804,5.280673931375442,,inf,,1,,,,,,-1.1445412205565095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1445412205565095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS,8.569012940146035,5.1732718775738125,,2.2518919786785276,,,1,,,,,-1.2508468481945285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.250732336728943,,,,,,,,,,,,,,,,,,,,,,,,inf,,,-1.2513619875797397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2517052664685988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNT,13.022518042434612,9.630563851059893,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNT,9.698100722811176,6.302347012730198,,,,,,,1,,,-0.1185827158269477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11707167158583763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC,inf,inf,,inf,,,,,,1,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
