,BTC,ETH,LTC,BNB,NEO,QTUM,EOS,SNT,BNT,BCC,GAS,USDT,HSR,OAX,DNT,MCO,ICN,WTC,LRC,YOYOW,OMG,ZRX,STRAT,SNGLS,BQX,KNC,FUN,SNM,IOTA,LINK,XVG,SALT,MDA,MTL,SUB,ETC,MTH,ENG,ZEC,AST,DASH,BTG,EVX,REQ,VIB,TRX,POWR,ARK,XRP,MOD,ENJ,STORJ,VEN,KMD,NULS,RCN,RDN,XMR,DLT,AMB,BAT,BCPT,ARN,GVT,CDT,GXS,POE,QSP,BTS,XZC,LSK,TNT,FUEL,MANA,BCD,DGD,ADX,ADA,PPT,CMT,XLM,CND,LEND,WABI,TNB,WAVES,GTO,ICX,OST,ELF,AION,NEBL,BRD,EDO,WINGS,NAV,LUN,TRIG,APPC,VIBE,RLC,INS,PIVX,IOST,CHAT,STEEM,NANO,VIA,BLZ,AE,RPX,NCASH,POA,ZIL,ONT,STORM,XEM,WAN,WPR,QLC,SYS,GRS,CLOAK,GNT,LOOM,BCN,REP,TUSD,ZEN,SKY,CVC,THETA,IOTX,QKC,AGI,NXS,DATA,SC,NPXS,KEY,NAS,MFT,DENT,ARDR,HOT,VET,DOCK,POLY,PHX,HC,GO,PAX,RVN,DCR,USDC,MITH,BCH,BSV,REN,BTT,USDS,ONG,FET,CELR,MATIC,ATOM,PHB,TFUEL,ONE,FTM,BTCB,ALGO,USDSB,ERD,DOGE,DUSK,BGBP,ANKR,WIN,COS,TUSDB,COCOS,TOMO,PERL,CHZ,BAND,BUSD,BEAM,XTZ,HBAR,NKN,STX,KAVA,NGN,ARPA,CTXC,RUB,TROY,VITE,FTT,TRY,EUR,OGN,DREP,BULL,BEAR,ETHBULL,ETHBEAR,TCT,WRX,LTO,EOSBULL,EOSBEAR,XRPBULL,XRPBEAR,MBL,COTI,BNBBULL,BNBBEAR,STPT,ZAR,BKRW,SOL,IDRT,CTSI,HIVE,CHR,BTCUP,BTCDOWN,MDT,STMX,IQ,PNT,GBP,DGB,UAH,COMP,BIDR,SXP,SNX,ETHUP,ETHDOWN,ADAUP,ADADOWN,LINKUP,LINKDOWN,VTHO,IRIS,MKR,DAI,RUNE,AUD,FIO,BNBUP,BNBDOWN,XTZUP,XTZDOWN,AVA,BAL,YFI,JST,SRM,ANT,CRV,SAND,OCEAN,NMR,DOT,LUNA,IDEX,RSR,PAXG,WNXM,TRB,BZRX,WBTC,SUSHI,YFII,KSM,EGLD,DIA,UMA,EOSUP,EOSDOWN,TRXUP,TRXDOWN,XRPUP,XRPDOWN,DOTUP,DOTDOWN,BEL,WING,SWRV,LTCUP,LTCDOWN,CREAM,UNI,NBS,OXT,SUN,AVAX,HNT,BAKE,BURGER,FLM,SCRT,CAKE,SPARTA,UNIUP,UNIDOWN,ORN,UTK,XVS,ALPHA,VIDT,AAVE,BRL,NEAR,SXPUP,SXPDOWN,FIL,FILUP,FILDOWN,YFIUP,YFIDOWN,INJ,AERGO,EASY,AUDIO,CTK,BCHUP,BCHDOWN,BOT,AKRO,KP3R,AXS,HARD,RENBTC,SLP,CVP,STRAX,FOR,UNFI,FRONT,BCHA,ROSE
BTC,1,-3.397823081023206,-5.3191325062619566,-6.316640823987344,-6.824333670843065,-8.687388568412352,-8.567434407852984,-13.018003362080085,-9.700383456559646,inf,-9.434734705192046,-9.817783684020986,inf,-12.414327584350632,-12.837184435170666,inf,inf,-10.742817243274155,-11.404071060058147,-14.413347558719895,-8.33403864831839,-10.605877314463006,inf,-14.78309458422598,-11.695647101785523,-9.702344241501585,-15.24262691360442,-14.23102600192594,-10.830839231769708,-7.063953052677022,-14.865332682462952,inf,-10.42436351215562,-10.920704203000243,inf,-7.858378689936798,-14.614018254182046,inf,-5.438729520264782,-12.061106875279988,-5.23140666126541,-7.520244556524628,-11.04982057741565,-13.43024815717363,-13.88808125079911,-13.194934070239164,-12.082086665749182,-10.73865923312549,-10.270212832328362,inf,-11.654489029292016,-10.769560568249666,inf,-10.444772383786827,-11.076607893379299,-12.995730726470963,-11.399596779663225,-4.937152517336452,-13.18957212709778,-13.966333447698858,-11.133804332201667,-13.71115054264003,inf,-9.428496381779354,-14.636491110034104,-10.663629601920352,inf,-13.43024815717363,-13.515405965513937,-8.383974347630016,-9.482149095271673,inf,inf,-12.200090573852627,-10.299497501873537,inf,-10.96134184873207,-11.59522070769706,-11.131753049431108,-14.48885511122804,-11.653337618686974,-14.395329053217216,inf,-12.257365939917724,-15.935774094164366,-7.748243047440791,-14.659480628258803,-10.621337345736444,-14.377629476117816,-12.020423298643545,-12.352255155708255,-10.705111209432157,-12.434228738667928,inf,inf,-12.01380075788305,inf,inf,-13.537878821365995,-13.845969765448983,-9.6471413603942,inf,-10.878997644070255,-14.954944841152638,inf,-11.545448656675788,-9.618308610302465,-11.351657317374107,-12.236531853014883,-11.88398914636106,inf,inf,-13.576493657493774,-13.508025858216314,-10.27745399358492,inf,-11.617175486344028,-10.807849713545009,-14.570533142242306,-13.815510557964274,-12.322606461786126,-11.339812847261584,inf,-11.942171101743796,-13.42346847018825,inf,-7.022044425384265,inf,-7.2959208900122405,-10.609517358927087,-12.232416620869776,-10.168234653705413,-14.570533142242306,-15.05338491396589,-12.571355964005507,-11.473704751816948,-12.87941719879394,-15.5303089860562,inf,inf,-10.824790826233828,inf,inf,-12.582950296786425,-17.034386382832476,-13.932044374220226,-14.130221302803974,-12.577136326921005,inf,-9.743070831130224,-14.683011125668997,-9.818436071876166,-13.954772625297782,-6.748190709310799,-9.818646727284706,-14.98669353946722,-3.986531057603208,inf,-10.75586495866663,inf,inf,-11.83450908909769,-12.580039086578967,-14.954944841152638,-13.65850680915461,-8.00347176453822,-15.5303089860562,-14.48885511122804,-14.954944841152638,-13.60039917834733,inf,-10.84100192086191,,inf,-15.376158306228943,-12.668108105126732,,-14.431696697388091,inf,-14.78309458422598,,inf,-9.944101235421424,-13.576493657493774,-14.23102600192594,-7.75407694933125,-9.818760473640795,-11.030499315725935,-8.825758474784443,-13.122363377404328,-13.624890198355624,-11.262166746623045,-9.08953967183048,-16.014904890788763,-13.508025858216314,-12.242736629901765,-14.147970470252702,-15.5303089860562,-13.866803852351824,-8.363614103487937,-11.86809327375112,-9.651426131039532,-11.666076644464404,-15.424948470398375,,,,,-14.570533142242306,-12.285115852870627,-11.979734203319445,,,,,-16.223456166616145,-12.871604659057146,,,-13.954772625297782,-12.58967380327479,-16.826063559934546,-8.92975844601471,-19.375532336709785,-12.919422533407639,-11.848398201258357,-13.351776541732134,,,-13.624890198355624,-15.781623414337107,,-10.72265157367956,-9.534458032719156,-13.493427058795161,-13.163639668716169,-4.935898947982238,-19.373177291046655,-9.666046696521095,-8.083788714618832,,,,,,,,-12.568478264177891,-3.412824717903135,-9.8155095266738,-9.86215368904315,-10.135404901275246,-12.274351486283468,,,,,-9.96749288251204,-6.981940177171514,0.3401227083912156,-13.464853686351105,-9.554381178097348,-8.384850004428523,-10.06365630468895,-12.84473164080605,-10.470883527790512,-6.299621472749148,-8.051448619090886,-10.79801679262877,-12.911292407324389,-13.592367006650065,-2.3015855926609623,-6.506298192271512,-6.316640823987344,-10.891274286115353,9.999500033332494e-05,-9.401500877437341,-2.082325696859699,-6.10575369351011,-7.610952795395584,-9.301359770363351,-7.658531572378719,,,,,,,,,-9.639739630379978,-7.395515629817131,,,,,-8.37504279931156,-14.837161805496256,-10.995322856925213,-7.314220887423885,-8.392235952011854,-9.262686852348391,,,-11.274696276237977,-10.676544116324376,,,,,-9.183698441029762,-11.5995732716959,-8.462231633342263,-11.449012139226575,-10.402714040458767,-5.5262222349639565,-11.515980792699235,-9.594533344808807,,,-6.4256378193528905,,,,,-9.452666742707166,-12.915349208020002,,-11.826267284202586,-9.626462060272877,,,-3.5484221014186805,-14.377629476117816,,-10.524128042309325,-10.507891523261685,-2.000020000260223e-05,,,-10.674380081720926,-13.553146293496782,-8.524519966802698,,,-12.915349208020002
ETH,3.3978529804117654,1,-1.9207981122404585,-2.916643867235027,-3.4243329570643124,-5.285203727402654,-5.169572410657475,-9.617256532351663,-6.302893013289763,inf,,-6.419880915133247,inf,inf,inf,inf,inf,-7.344711054181672,-8.008058997311226,inf,-4.935898947982238,-7.207428964286296,inf,inf,-8.292850359526545,-6.3039859095734085,-11.855415773917004,inf,-7.430063239857162,-3.664381982513549,-11.489208938352913,inf,inf,-7.5220912791177925,inf,-4.4586485333253245,inf,inf,-2.040682473529752,inf,-1.8325189657013536,inf,inf,inf,-10.486167280070102,-9.798947373262203,-8.675075826333174,inf,-6.870864200398389,inf,-8.257100736323826,-7.368521702875391,inf,-7.043575002124672,inf,inf,inf,-1.5386998979287587,inf,inf,-7.732219163543764,inf,inf,inf,-11.257508353105724,-7.2658598157304635,inf,-10.031320924046012,inf,-4.980300094300183,-6.084896491900534,inf,inf,-8.78762491046149,inf,inf,-7.563221392574394,-8.196922929371304,inf,-11.093557451693073,-8.254944318221447,inf,inf,inf,inf,-4.345656133364231,inf,-7.222466023821838,-10.978774015900742,-8.622609264172887,-8.947976107508692,-7.300797867091744,-9.037227754267539,inf,inf,inf,inf,inf,inf,inf,-6.247647952500392,inf,-7.480456306466215,-11.56001707250408,inf,-8.149083869851841,-6.21711122864031,inf,-8.837673975619404,inf,inf,-14.130221302803974,inf,-10.113468117324057,-6.879167822130224,inf,-8.216644253257632,-7.405335675998107,inf,-10.424026868489758,inf,inf,inf,-8.541383430217454,-10.020920649428223,inf,-3.6208470437221094,inf,-3.8941830872998153,inf,-8.835265745192087,-6.7700127655861495,-11.18794760777475,-11.671921196460687,inf,inf,-9.484908805282581,-12.132822183790582,-14.98669353946722,-12.24898014654145,-7.428631238601629,-12.47526013534579,-14.924173182485886,inf,-13.835713265281793,-10.539498541725264,inf,,inf,inf,,-6.420402011401288,,,-6.420711283880945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4209716496963845,,,,,,,-12.615313948166104,,,-10.749231348848197,,,,-8.469499725653206,-6.25352107192079,,,,,,,,,,,,,,,,,,,-9.19023970026918,-13.427169492946529,,,,,,,,,-12.426719316645796,,,-6.135651467420479,,,,-15.975306335710714,,,,,,,,,,,,-6.417189694223507,,-6.736646622002248,,,,,,,,,,,,,,,,,,,,,,,,3.401074040722641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.284632930238389,,,,,,,,,,-2.127791802620883,-8.116193100267232,,,,,,,,,,,-4.398156016603765,,,,,,,,,,3.4064966490426647,-9.748537192538306,-5.3849651732737085,-7.280269286950616,,,-7.400413598792679,,
LTC,5.319541002999664,1.9220959709560583,1,-0.9958410106321641,,,,,,,,-4.498252903642014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.496693709652008,,,,,,,,,,,,,,,,,,,,,,,,-4.49647076906475,,,-4.498252903642014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.499142781342561,,,,,,,-10.684714289379015,,,,,,,,-4.331680260237143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB,6.317637998741736,2.9187712324178627,0.9976863700781492,1,-0.507663960428412,inf,-2.2499926428748753,,,inf,,-3.5010185836106573,,,,inf,,-4.425351759412255,,inf,inf,-4.288172059202258,inf,,,,,,-4.515329481988302,,,,,,,-1.5413120833865,,,0.8787965274465745,,1.0882251957816227,,,,,-6.880723939931107,inf,,-3.952844999948401,,-5.335603951334053,,inf,,inf,inf,inf,1.3800247481062953,inf,inf,-4.8171265479117364,inf,,,,,,inf,inf,inf,inf,,,,,,inf,-5.277926676900303,,inf,-5.333944544191188,inf,,-5.948405057647535,,-1.4256590846421673,inf,-4.30284583679944,inf,,-6.035207470055901,inf,-6.10575369351011,,,inf,,inf,inf,,-3.3289697476652744,,inf,-8.639925956798535,,-5.228791303899427,inf,inf,-5.913393011687827,inf,inf,inf,inf,-7.19051614711485,-3.960688177409427,inf,inf,-4.484724032912224,,inf,inf,,,inf,inf,inf,inf,-3.5012478238010862,-0.9773685813827455,inf,inf,-3.850974943863212,,,inf,inf,,-9.213344880996482,,,inf,-9.557064985061746,,inf,-10.914638565434243,-7.620697086870262,,inf,inf,,inf,-3.4893822365238916,-7.645899825472818,inf,-3.500943164165377,-8.685611843041201,2.3304920462470538,,inf,-11.478524038252896,inf,inf,-6.263798342612963,-8.633165367668658,-7.3425462164721305,-1.6868590594026853,inf,inf,-8.646732562771223,-7.286091719702049,,-4.522668964476348,,inf,inf,inf,,-8.110062803989011,-12.743926941684084,-8.444872529836612,,-11.574800868688316,-3.626468193992539,-7.2587322018062315,-7.9098762674614855,-1.4355686424551297,-3.5017935658957176,inf,-2.5078887261799245,-6.806101625255637,-7.3022804470519675,-4.944847553558253,-2.770351227299589,-9.697754062731514,-7.195437351433918,inf,-7.829148968592195,-9.222412953210451,inf,-2.0463936876336355,-5.549970626307962,-3.333764007812107,-5.341224867559313,inf,,,,,inf,-5.967748020490665,inf,,,,,-9.963237556941902,-6.558507850872201,,,inf,-6.269967116542469,-10.50837712533791,-2.6112865326699017,-13.05626203569862,-6.603953824650473,-5.506572305368496,-7.036725660279097,,,-7.3067414209925925,-9.503370050754558,-9.514151826357848,,-3.2163927445743945,-7.1691200431165445,,1.3890405867879159,-13.055691382028225,-3.349839089387013,-1.7631720123761423,,,,,,,-10.605877314463006,-6.2450673059069,2.9029040112427964,-3.498203092937228,-3.546338767331826,-3.81718471426686,-5.95609740327069,,,,,-3.6504282677396835,-0.660486398320397,6.659447754004378,-7.152377861973471,-3.2342433019993226,-2.069887328875024,-3.7465085669505727,-6.525149465020055,-4.153457826714607,0.015479570848386345,-1.7344344026087857,-4.4811842062071,,-7.277370734196604,4.016310946083,-0.1827216368152945,-0.0,-4.5736715189287205,,-3.0812901619156374,4.2358441244958005,0.21179944961355274,-1.2920756858809088,-2.983803702688717,,,,,,,,,,-3.3195252330181306,-1.0755795895575369,-3.7090821614314557,,,0.3503751417902044,-2.0583847991542257,,,,-2.075130846092751,,-7.559760516210908,-3.8771386035746445,-4.950481371276509,,-4.5932416151228175,-6.367759277916367,,,,,-2.1413169453979233,-5.128017784981408,,0.7902285182105087,-5.19794439240125,-3.2786258292739747,,,-0.10681713156342675,,,,,-3.13522425237259,,,,-3.31181382052747,,,,,2.0369254045767575,-4.201106058795555,-4.190415030972835,,,,,,-2.206093792805284,,,
NEO,6.825254057470393,3.4277467168956917,,0.5106589709866699,1,,,,,,,-2.992075596050447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,,,,,,,,,,inf,,,-2.9910714286717965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.991724252156452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTUM,8.689168456156048,5.291937759583997,,inf,,1,,,,,,-1.1291414937029325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1288181307251755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS,8.56796030846989,5.170276016667152,,2.2518919786785276,,,1,,,,,-1.2499876924053834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2492711649532229,,,,,,,,,,,,,,,,,,,,,,,,inf,,,-1.2505891789545156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2507037068135423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNT,13.022518042434612,9.629042706866368,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNT,9.702671413106009,6.306723387329997,,,,,,,1,,,-0.11511280710050467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11306079228401415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC,inf,inf,,inf,,,,,,1,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
